journal,impact_factor,quartile,jcr_quartile,cas_quartile,jif_rank,category,cas_top,open_access,source
Acque Sotterranee-Italian Journal of Groundwater,0.7,JCR Q4 / CAS 4区,Q4,CAS 4区,122/131,WATER RESOURCES(ESCI),否,是,2025 CAS/JCR user table
ACR Open Rheumatology,2.8,JCR Q2 / CAS 3区,Q2,CAS 3区,24/58,RHEUMATOLOGY(ESCI),否,是,2025 CAS/JCR user table
Across Languages and Cultures,0.9,JCR Q3 / CAS 1区,Q3,CAS 1区,162/303,LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI),是,否,2025 CAS/JCR user table
ACS Agricultural Science & Technology,2.9,JCR Q1 / CAS 4区,Q1,CAS 4区,21/94,"AGRICULTURE, MULTIDISCIPLINARY(ESCI);CHEMISTRY, APPLIED(ESCI)",否,否,2025 CAS/JCR user table
ACS Applied Bio Materials,4.7,JCR Q2 / CAS 3区,Q2,CAS 3区,58/147,"MATERIALS SCIENCE, BIOMATERIALS(ESCI);NANOSCIENCE & NANOTECHNOLOGY(ESCI)",否,否,2025 CAS/JCR user table
ACS Applied Electronic Materials,4.7,JCR Q2 / CAS 3区,Q2,CAS 3区,93/366,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",否,否,2025 CAS/JCR user table
ACS Applied Energy Materials,5.5,JCR Q2 / CAS 3区,Q2,CAS 3区,135/460,"CHEMISTRY, PHYSICAL(SCIE);ENERGY & FUELS(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",否,否,2025 CAS/JCR user table
ACS Applied Engineering Materials,3.5,JCR Q2,Q2,待核实,219/460,"MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)",,,2025 CAS/JCR user table
ACS Applied Materials & Interfaces,8.2,JCR Q1 / CAS 2区,Q1,CAS 2区,83/460,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",否,否,2025 CAS/JCR user table
ACS Applied Nano Materials,5.5,JCR Q2 / CAS 3区,Q2,CAS 3区,135/460,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",否,否,2025 CAS/JCR user table
ACS Applied Optical Materials,3.8,JCR Q2,Q2,待核实,34/125,"MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI);OPTICS(ESCI)",,,2025 CAS/JCR user table
ACS Applied Polymer Materials,4.7,JCR Q1 / CAS 2区,Q1,CAS 2区,23/94,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);POLYMER SCIENCE(SCIE)",否,否,2025 CAS/JCR user table
ACS Bio & Med Chem Au,4.3,JCR Q2 / CAS 4区,Q2,CAS 4区,91/319,"BIOCHEMISTRY & MOLECULAR BIOLOGY(ESCI);CHEMISTRY, MEDICINAL(ESCI)",否,否,2025 CAS/JCR user table
ACS Biomaterials Science & Engineering,5.5,JCR Q2 / CAS 3区,Q2,CAS 3区,20/55,"MATERIALS SCIENCE, BIOMATERIALS(SCIE)",否,否,2025 CAS/JCR user table
ACS Catalysis,13.1,JCR Q1 / CAS 1区,Q1,CAS 1区,21/185,"CHEMISTRY, PHYSICAL(SCIE)",是,否,2025 CAS/JCR user table
ACS Central Science,10.4,JCR Q1 / CAS 1区,Q1,CAS 1区,28/239,"CHEMISTRY, MULTIDISCIPLINARY(SCIE)",是,是,2025 CAS/JCR user table
ACS Chemical Biology,3.8,JCR Q2 / CAS 2区,Q2,CAS 2区,120/319,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE),否,否,2025 CAS/JCR user table
ACS Chemical Health & Safety,3.4,JCR Q1 / CAS 4区,Q1,CAS 4区,78/419,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(ESCI)",否,否,2025 CAS/JCR user table
ACS Chemical Neuroscience,3.9,JCR Q2 / CAS 3区,Q2,CAS 3区,86/314,"BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CHEMISTRY, MEDICINAL(SCIE);NEUROSCIENCES(SCIE)",否,否,2025 CAS/JCR user table
ACS Earth and Space Chemistry,2.9,JCR Q2 / CAS 3区,Q2,CAS 3区,28/100,"CHEMISTRY, MULTIDISCIPLINARY(SCIE);GEOCHEMISTRY & GEOPHYSICS(SCIE)",否,否,2025 CAS/JCR user table
ACS Energy Letters,18.2,JCR Q1 / CAS 1区,Q1,CAS 1区,8/182,"CHEMISTRY, PHYSICAL(SCIE);ELECTROCHEMISTRY(SCIE);ENERGY & FUELS(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",是,否,2025 CAS/JCR user table
ACS Engineering Au,5.1,JCR Q2 / CAS 3区,Q2,CAS 3区,46/175,"ENGINEERING, CHEMICAL(ESCI)",否,是,2025 CAS/JCR user table
ACS Environmental Au,7.7,JCR Q1 / CAS 2区,Q1,CAS 2区,41/374,"ENGINEERING, ENVIRONMENTAL(ESCI);ENVIRONMENTAL SCIENCES(ESCI)",否,是,2025 CAS/JCR user table
ACS ES&T Engineering,6.7,JCR Q2 / CAS 3区,Q2,CAS 3区,21/83,"ENGINEERING, ENVIRONMENTAL(ESCI)",否,否,2025 CAS/JCR user table
ACS ES&T Water,4.3,JCR Q1 / CAS 3区,Q1,CAS 3区,27/131,ENVIRONMENTAL SCIENCES(ESCI);WATER RESOURCES(ESCI),否,否,2025 CAS/JCR user table
ACS Food Science & Technology,2.8,JCR Q3 / CAS 4区,Q3,CAS 4区,93/181,FOOD SCIENCE & TECHNOLOGY(ESCI),否,否,2025 CAS/JCR user table
ACS Infectious Diseases,3.8,JCR Q1 / CAS 2区,Q1,CAS 2区,30/137,"CHEMISTRY, MEDICINAL(SCIE);INFECTIOUS DISEASES(SCIE)",否,否,2025 CAS/JCR user table
ACS Macro Letters,5.2,JCR Q1 / CAS 1区,Q1,CAS 1区,15/94,POLYMER SCIENCE(SCIE),是,否,2025 CAS/JCR user table
ACS Materials Au,6.5,JCR Q2 / CAS 3区,Q2,CAS 3区,117/460,"CHEMISTRY, PHYSICAL(ESCI);MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
ACS Materials Letters,8.7,JCR Q1 / CAS 2区,Q1,CAS 2区,77/460,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",否,否,2025 CAS/JCR user table
ACS Measurement Science Au,9.0,JCR Q1 / CAS 2区,Q1,CAS 2区,5/111,"CHEMISTRY, ANALYTICAL(ESCI)",否,是,2025 CAS/JCR user table
ACS Medicinal Chemistry Letters,4.0,JCR Q2 / CAS 3区,Q2,CAS 3区,25/72,"CHEMISTRY, MEDICINAL(SCIE)",否,否,2025 CAS/JCR user table
ACS Nano,16.0,JCR Q1 / CAS 1区,Q1,CAS 1区,28/460,"CHEMISTRY, MULTIDISCIPLINARY(SCIE);CHEMISTRY, PHYSICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",是,否,2025 CAS/JCR user table
ACS Nanoscience Au,6.3,JCR Q2 / CAS 3区,Q2,CAS 3区,44/147,NANOSCIENCE & NANOTECHNOLOGY(ESCI),否,是,2025 CAS/JCR user table
ACS Omega,4.3,JCR Q2 / CAS 3区,Q2,CAS 3区,81/239,"CHEMISTRY, MULTIDISCIPLINARY(SCIE)",否,是,2025 CAS/JCR user table
ACS Organic & Inorganic Au,4.4,JCR Q2 / CAS 3区,Q2,CAS 3区,79/239,"CHEMISTRY, MULTIDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
ACS Pharmacology & Translational Science,3.7,JCR Q2 / CAS 3区,Q2,CAS 3区,99/352,"CHEMISTRY, MEDICINAL(ESCI);PHARMACOLOGY & PHARMACY(ESCI)",否,否,2025 CAS/JCR user table
ACS Photonics,6.7,JCR Q1 / CAS 1区,Q1,CAS 1区,18/125,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE);OPTICS(SCIE);PHYSICS, APPLIED(SCIE);PHYSICS, CONDENSED MATTER(SCIE)",是,否,2025 CAS/JCR user table
ACS Physical Chemistry Au,4.3,JCR Q2 / CAS 3区,Q2,CAS 3区,75/185,"CHEMISTRY, PHYSICAL(ESCI)",否,是,2025 CAS/JCR user table
ACS Polymers Au,6.9,JCR Q1 / CAS 2区,Q1,CAS 2区,8/94,POLYMER SCIENCE(ESCI),否,是,2025 CAS/JCR user table
ACS Sensors,9.1,JCR Q1 / CAS 1区,Q1,CAS 1区,4/111,"CHEMISTRY, ANALYTICAL(SCIE);CHEMISTRY, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",是,否,2025 CAS/JCR user table
ACS Sustainable Chemistry & Engineering,7.3,JCR Q1 / CAS 1区,Q1,CAS 1区,24/175,"CHEMISTRY, MULTIDISCIPLINARY(SCIE);ENGINEERING, CHEMICAL(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)",是,否,2025 CAS/JCR user table
ACS Synthetic Biology,3.9,JCR Q1 / CAS 2区,Q1,CAS 2区,18/86,BIOCHEMICAL RESEARCH METHODS(SCIE),否,否,2025 CAS/JCR user table
ACSMS HEALTH & FITNESS JOURNAL,1.8,JCR Q2 / CAS 4区,Q2,CAS 4区,65/133,SPORT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
ACTA ACUSTICA,1.4,JCR Q3 / CAS 4区,Q3,CAS 4区,25/41,ACOUSTICS(SCIE),否,是,2025 CAS/JCR user table
ACTA ADRIATICA,0.6,JCR Q4 / CAS 4区,Q4,CAS 4区,106/119,MARINE & FRESHWATER BIOLOGY(SCIE);OCEANOGRAPHY(SCIE),否,否,2025 CAS/JCR user table
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,0.9,JCR Q3 / CAS 4区,Q3,CAS 4区,60/86,"AGRICULTURE, DAIRY & ANIMAL SCIENCE(SCIE)",否,否,2025 CAS/JCR user table
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,1.8,JCR Q2 / CAS 4区,Q2,CAS 4区,54/129,AGRONOMY(SCIE);SOIL SCIENCE(SCIE),否,否,2025 CAS/JCR user table
ACTA AGROBOTANICA,1.3,JCR Q3 / CAS 3区,Q3,CAS 3区,174/273,PLANT SCIENCES(ESCI),否,是,2025 CAS/JCR user table
ACTA ALIMENTARIA,1.0,JCR Q4 / CAS 4区,Q4,CAS 4区,152/181,FOOD SCIENCE & TECHNOLOGY(SCIE);NUTRITION & DIETETICS(SCIE),否,否,2025 CAS/JCR user table
ACTA AMAZONICA,0.8,JCR Q3 / CAS 4区,Q3,CAS 4区,131/181,ECOLOGY(SCIE);PLANT SCIENCES(SCIE);ZOOLOGY(SCIE),否,是,2025 CAS/JCR user table
ACTA ANAESTHESIOLOGICA BELGICA,0.3,JCR Q4 / CAS 4区,Q4,CAS 4区,58/68,ANESTHESIOLOGY(ESCI),否,否,2025 CAS/JCR user table
ACTA ANAESTHESIOLOGICA SCANDINAVICA,2.0,JCR Q2 / CAS 4区,Q2,CAS 4区,30/68,ANESTHESIOLOGY(SCIE),否,否,2025 CAS/JCR user table
Acta Analytica-International Periodical for Philosophy in the Analytical Tradition,0.2,JCR N/A / CAS 3区,N/A,CAS 3区,N/A,PHILOSOPHY(AHCI),否,否,2025 CAS/JCR user table
Acta Angiologica,0.3,JCR Q4 / CAS 4区,Q4,CAS 4区,93/98,PERIPHERAL VASCULAR DISEASE(ESCI),否,是,2025 CAS/JCR user table
ACTA APPLICANDAE MATHEMATICAE,1.0,JCR Q3 / CAS 4区,Q3,CAS 4区,192/343,"MATHEMATICS, APPLIED(SCIE)",否,否,2025 CAS/JCR user table
ACTA ARCHAEOLOGICA,0.4,JCR N/A / CAS 3区,N/A,CAS 3区,N/A,ARCHAEOLOGY(AHCI),否,否,2025 CAS/JCR user table
ACTA ARITHMETICA,0.4,JCR Q4 / CAS 3区,Q4,CAS 3区,383/483,MATHEMATICS(SCIE),否,否,2025 CAS/JCR user table
ACTA ASTRONAUTICA,3.4,JCR Q1 / CAS 2区,Q1,CAS 2区,10/55,"ENGINEERING, AEROSPACE(SCIE)",否,否,2025 CAS/JCR user table
ACTA ASTRONOMICA,0.6,JCR Q4 / CAS 4区,Q4,CAS 4区,74/84,ASTRONOMY & ASTROPHYSICS(SCIE),否,否,2025 CAS/JCR user table
Acta Balneologica,0.2,JCR Q4 / CAS 4区,Q4,CAS 4区,171/173,REHABILITATION(ESCI),否,否,2025 CAS/JCR user table
Acta Baltico-Slavica,0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,3.4,JCR Q1 / CAS 2区,Q1,CAS 2区,18/79,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);BIOPHYSICS(SCIE),否,否,2025 CAS/JCR user table
ACTA BIOCHIMICA POLONICA,1.7,JCR Q4 / CAS 4区,Q4,CAS 4区,271/319,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE),否,否,2025 CAS/JCR user table
Acta Bioclinica,待核实,CAS 4区,待核实,CAS 4区,,,否,否,2025 CAS/JCR user table
Acta Bioethica,0.3,JCR Q4 / CAS 4区,Q4,CAS 4区,71/77,"ETHICS(SSCI);MEDICAL ETHICS(SCIE);SOCIAL SCIENCES, BIOMEDICAL(SSCI)",否,是,2025 CAS/JCR user table
ACTA BIOLOGICA COLOMBIANA,0.4,JCR Q4 / CAS 4区,Q4,CAS 4区,171/181,PLANT SCIENCES(SCIE);ZOOLOGY(SCIE),否,是,2025 CAS/JCR user table
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,0.4,JCR Q4 / CAS 4区,Q4,CAS 4区,259/273,PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
Acta Biomaterialia,9.6,JCR Q1 / CAS 1区,Q1,CAS 1区,11/124,"ENGINEERING, BIOMEDICAL(SCIE);MATERIALS SCIENCE, BIOMATERIALS(SCIE)",是,否,2025 CAS/JCR user table
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,33/33,MEDICAL LABORATORY TECHNOLOGY(SCIE),否,否,2025 CAS/JCR user table
ACTA BIOTHEORETICA,1.5,JCR Q4 / CAS 3区,Q4,CAS 3区,53/67,MATHEMATICAL & COMPUTATIONAL BIOLOGY(SCIE),否,否,2025 CAS/JCR user table
Acta Borealia,0.6,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,"HUMANITIES, MULTIDISCIPLINARY(AHCI)",否,否,2025 CAS/JCR user table
Acta Botanica Brasilica,1.1,JCR Q3 / CAS 4区,Q3,CAS 4区,194/273,PLANT SCIENCES(SCIE),否,是,2025 CAS/JCR user table
ACTA BOTANICA CROATICA,0.7,JCR Q4 / CAS 4区,Q4,CAS 4区,231/273,PLANT SCIENCES(SCIE),否,是,2025 CAS/JCR user table
Acta Botanica Mexicana,0.8,JCR Q4 / CAS 4区,Q4,CAS 4区,221/273,PLANT SCIENCES(SCIE),否,否,2025 CAS/JCR user table
Acta Brasiliensis,0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,90/94,"AGRICULTURE, MULTIDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
ACTA CARDIOLOGICA,2.5,JCR Q2 / CAS 4区,Q2,CAS 4区,98/230,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),否,否,2025 CAS/JCR user table
Acta Cardiologica Sinica,1.8,JCR Q3 / CAS 4区,Q3,CAS 4区,137/230,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),否,否,2025 CAS/JCR user table
ACTA CARSOLOGICA,1.1,JCR Q4 / CAS 4区,Q4,CAS 4区,197/258,"GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",否,是,2025 CAS/JCR user table
Acta Chemica Iasi,0.3,JCR Q4 / CAS 4区,Q4,CAS 4区,228/239,"CHEMISTRY, MULTIDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
ACTA CHIMICA SINICA,1.6,JCR Q3 / CAS 2区,Q3,CAS 2区,160/239,"CHEMISTRY, MULTIDISCIPLINARY(SCIE)",否,否,2025 CAS/JCR user table
Acta Chimica Slovaca,0.7,JCR Q4 / CAS 4区,Q4,CAS 4区,201/239,"CHEMISTRY, MULTIDISCIPLINARY(ESCI)",否,否,2025 CAS/JCR user table
ACTA CHIMICA SLOVENICA,1.3,JCR Q3 / CAS 4区,Q3,CAS 4区,170/239,"CHEMISTRY, MULTIDISCIPLINARY(SCIE)",否,是,2025 CAS/JCR user table
ACTA CHIROPTEROLOGICA,0.7,JCR Q4 / CAS 4区,Q4,CAS 4区,149/181,ZOOLOGY(SCIE),否,否,2025 CAS/JCR user table
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,0.4,JCR Q4 / CAS 4区,Q4,CAS 4区,127/139,ORTHOPEDICS(SCIE),否,否,2025 CAS/JCR user table
ACTA CHIRURGICA BELGICA,0.8,JCR Q3 / CAS 4区,Q3,CAS 4区,234/312,SURGERY(SCIE),否,否,2025 CAS/JCR user table
ACTA CHROMATOGRAPHICA,1.7,JCR Q3 / CAS 4区,Q3,CAS 4区,78/111,"CHEMISTRY, ANALYTICAL(SCIE)",否,否,2025 CAS/JCR user table
Acta Cirurgica Brasileira,1.3,JCR Q3 / CAS 4区,Q3,CAS 4区,190/312,SURGERY(SCIE),否,是,2025 CAS/JCR user table
Acta Classica,<0.1,JCR N/A / CAS 3区,N/A,CAS 3区,N/A,CLASSICS(AHCI),否,否,2025 CAS/JCR user table
ACTA CLINICA BELGICA,0.9,JCR Q3 / CAS 4区,Q3,CAS 4区,179/332,"MEDICINE, GENERAL & INTERNAL(SCIE)",否,否,2025 CAS/JCR user table
Acta Clinica Croatica,0.8,JCR Q3 / CAS 4区,Q3,CAS 4区,192/332,"MEDICINE, GENERAL & INTERNAL(SCIE)",否,是,2025 CAS/JCR user table
Acta Colombiana de Psicologia,0.7,JCR Q4 / CAS 4区,Q4,CAS 4区,162/185,"PSYCHOLOGY, CLINICAL(ESCI)",否,是,2025 CAS/JCR user table
Acta Crystallographica A-Foundation and Advances,1.8,JCR Q3 / CAS 4区,Q3,CAS 4区,18/31,"CHEMISTRY, MULTIDISCIPLINARY(SCIE);CRYSTALLOGRAPHY(SCIE)",否,否,2025 CAS/JCR user table
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,1.3,JCR Q3 / CAS 3区,Q3,CAS 3区,20/31,"CHEMISTRY, MULTIDISCIPLINARY(SCIE);CRYSTALLOGRAPHY(SCIE)",否,否,2025 CAS/JCR user table
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,0.9,JCR Q3 / CAS 4区,Q3,CAS 4区,23/31,"CHEMISTRY, MULTIDISCIPLINARY(SCIE);CRYSTALLOGRAPHY(SCIE)",否,否,2025 CAS/JCR user table
Acta Crystallographica Section D-Structural Biology,3.8,JCR Q1 / CAS 4区,Q1,CAS 4区,3/31,BIOCHEMICAL RESEARCH METHODS(SCIE);BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);BIOPHYSICS(SCIE);CRYSTALLOGRAPHY(SCIE),否,否,2025 CAS/JCR user table
Acta Crystallographica Section E-Crystallographic Communications,0.6,JCR Q4 / CAS 4区,Q4,CAS 4区,26/31,CRYSTALLOGRAPHY(ESCI),否,是,2025 CAS/JCR user table
Acta Crystallographica Section F-Structural Biology Communications,1.1,JCR Q3 / CAS 4区,Q3,CAS 4区,21/31,BIOCHEMICAL RESEARCH METHODS(SCIE);BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);BIOPHYSICS(SCIE);CRYSTALLOGRAPHY(SCIE),否,否,2025 CAS/JCR user table
Acta Cybernetica,待核实,CAS 4区,待核实,CAS 4区,,,否,否,2025 CAS/JCR user table
ACTA CYTOLOGICA,1.7,JCR Q3 / CAS 4区,Q3,CAS 4区,52/90,PATHOLOGY(SCIE),否,否,2025 CAS/JCR user table
ACTA DERMATO-VENEREOLOGICA,3.7,JCR Q1 / CAS 3区,Q1,CAS 3区,17/96,DERMATOLOGY(SCIE),否,是,2025 CAS/JCR user table
Acta Dermatovenerologica Alpina Pannonica et Adriatica,1.0,JCR Q4 / CAS 4区,Q4,CAS 4区,76/96,DERMATOLOGY(ESCI),否,否,2025 CAS/JCR user table
Acta Dermatovenerologica Croatica,0.5,JCR Q4 / CAS 4区,Q4,CAS 4区,85/96,DERMATOLOGY(SCIE),否,否,2025 CAS/JCR user table
ACTA DIABETOLOGICA,2.9,JCR Q3 / CAS 3区,Q3,CAS 3区,96/191,ENDOCRINOLOGY & METABOLISM(SCIE),否,否,2025 CAS/JCR user table
Acta Ecologica Sinica,7.1,JCR Q1,Q1,待核实,12/200,ECOLOGY(ESCI),,,2025 CAS/JCR user table
Acta Endocrinologica-Bucharest,0.7,JCR Q4 / CAS 4区,Q4,CAS 4区,173/191,ENDOCRINOLOGY & METABOLISM(SCIE),否,否,2025 CAS/JCR user table
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,0.8,JCR Q3 / CAS 3区,Q3,CAS 3区,79/110,ENTOMOLOGY(SCIE),否,否,2025 CAS/JCR user table
Acta Epileptologica,1.2,JCR Q4 / CAS 4区,Q4,CAS 4区,232/285,CLINICAL NEUROLOGY(ESCI),否,是,2025 CAS/JCR user table
Acta et Commentationes Universitatis Tartuensis de Mathematica,0.6,JCR Q3 / CAS 4区,Q3,CAS 4区,282/483,MATHEMATICS(ESCI),否,否,2025 CAS/JCR user table
ACTA ETHOLOGICA,1.3,JCR Q2 / CAS 4区,Q2,CAS 4区,75/181,BEHAVIORAL SCIENCES(SCIE);ZOOLOGY(SCIE),否,否,2025 CAS/JCR user table
Acta Facultatis Medicae Naissensis,0.3,JCR Q4 / CAS 4区,Q4,CAS 4区,251/332,"MEDICINE, GENERAL & INTERNAL(ESCI)",否,是,2025 CAS/JCR user table
Acta Facultatis Xylologiae Zvolen,0.8,JCR Q3 / CAS 4区,Q3,CAS 4区,18/24,"MATERIALS SCIENCE, PAPER & WOOD(ESCI)",否,否,2025 CAS/JCR user table
ACTA GASTRO-ENTEROLOGICA BELGICA,1.2,JCR Q4 / CAS 4区,Q4,CAS 4区,119/147,GASTROENTEROLOGY & HEPATOLOGY(SCIE),否,否,2025 CAS/JCR user table
Acta Geochimica,1.3,JCR Q3 / CAS 3区,Q3,CAS 3区,64/100,GEOCHEMISTRY & GEOPHYSICS(ESCI),否,否,2025 CAS/JCR user table
Acta Geodaetica et Geophysica,1.8,JCR Q3 / CAS 4区,Q3,CAS 4区,54/100,GEOCHEMISTRY & GEOPHYSICS(SCIE),否,否,2025 CAS/JCR user table
Acta Geodynamica et Geomaterialia,0.8,JCR Q4 / CAS 4区,Q4,CAS 4区,80/100,GEOCHEMISTRY & GEOPHYSICS(SCIE);MINING & MINERAL PROCESSING(SCIE),否,否,2025 CAS/JCR user table
Acta Geographica Slovenica-Geografski Zbornik,0.9,JCR Q4 / CAS 4区,Q4,CAS 4区,55/67,"GEOGRAPHY, PHYSICAL(SCIE)",否,是,2025 CAS/JCR user table
ACTA GEOLOGICA POLONICA,0.9,JCR Q3 / CAS 4区,Q3,CAS 4区,37/61,GEOLOGY(SCIE),否,否,2025 CAS/JCR user table
ACTA GEOLOGICA SINICA-ENGLISH EDITION,3.7,JCR Q1 / CAS 4区,Q1,CAS 4区,60/258,"GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",否,否,2025 CAS/JCR user table
Acta Geophysica,2.1,JCR Q2 / CAS 4区,Q2,CAS 4区,45/100,GEOCHEMISTRY & GEOPHYSICS(SCIE),否,否,2025 CAS/JCR user table
Acta Geotechnica,5.7,JCR Q1 / CAS 1区,Q1,CAS 1区,10/65,"ENGINEERING, GEOLOGICAL(SCIE)",是,否,2025 CAS/JCR user table
Acta Geotechnica Slovenica,待核实,CAS 4区,待核实,CAS 4区,,,否,否,2025 CAS/JCR user table
Acta Germanica-German studies in Africa,<0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,LANGUAGE & LINGUISTICS(ESCI),否,否,2025 CAS/JCR user table
Acta Gymnica,0.7,JCR Q4 / CAS 4区,Q4,CAS 4区,114/133,SPORT SCIENCES(ESCI),否,是,2025 CAS/JCR user table
ACTA HAEMATOLOGICA,1.1,JCR Q4 / CAS 4区,Q4,CAS 4区,82/98,HEMATOLOGY(SCIE),否,否,2025 CAS/JCR user table
Acta Herpetologica,0.9,JCR Q3 / CAS 4区,Q3,CAS 4区,116/181,ZOOLOGY(SCIE),否,是,2025 CAS/JCR user table
ACTA HISTOCHEMICA,2.4,JCR Q4 / CAS 3区,Q4,CAS 3区,154/204,CELL BIOLOGY(SCIE),否,否,2025 CAS/JCR user table
ACTA HISTOCHEMICA ET CYTOCHEMICA,1.8,JCR Q4 / CAS 4区,Q4,CAS 4区,178/204,CELL BIOLOGY(SCIE),否,否,2025 CAS/JCR user table
Acta Historica Tallinnensia,0.5,JCR Q1 / CAS 3区,Q1,CAS 3区,99/538,HISTORY(AHCI),否,是,2025 CAS/JCR user table
Acta Historica Universitatis Klaipedensis,0.3,JCR Q2 / CAS 4区,Q2,CAS 4区,176/538,HISTORY(ESCI),否,是,2025 CAS/JCR user table
Acta Histriae,0.3,JCR Q2 / CAS 2区,Q2,CAS 2区,176/538,"HISTORY(AHCI, SSCI)",否,是,2025 CAS/JCR user table
ACTA ICHTHYOLOGICA ET PISCATORIA,1.0,JCR Q3 / CAS 4区,Q3,CAS 4区,107/181,FISHERIES(SCIE);ZOOLOGY(SCIE),否,是,2025 CAS/JCR user table
Acta IMEKO,0.7,JCR Q4,Q4,待核实,72/79,INSTRUMENTS & INSTRUMENTATION(ESCI),,,2025 CAS/JCR user table
Acta Infologica,0.3,JCR Q4,Q4,待核实,253/258,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI)",,,2025 CAS/JCR user table
ACTA INFORMATICA,0.5,JCR Q4 / CAS 4区,Q4,CAS 4区,240/258,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",否,否,2025 CAS/JCR user table
Acta Informatica Pragensia,1.1,JCR Q2 / CAS 4区,Q2,CAS 4区,122/271,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI);SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
Acta Kinesiologica,1.6,JCR Q3 / CAS 4区,Q3,CAS 4区,74/133,SPORT SCIENCES(ESCI),否,否,2025 CAS/JCR user table
Acta Koreana,0.2,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,ASIAN STUDIES(AHCI),否,否,2025 CAS/JCR user table
Acta Linguistica Academica,0.4,JCR Q4 / CAS 3区,Q4,CAS 3区,233/303,LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI),否,否,2025 CAS/JCR user table
Acta Literaria,<0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,"LITERATURE, ROMANCE(AHCI)",否,否,2025 CAS/JCR user table
Acta Logistica,0.9,JCR Q4 / CAS 4区,Q4,CAS 4区,352/420,"ENGINEERING, INDUSTRIAL(ESCI);MANAGEMENT(ESCI)",否,是,2025 CAS/JCR user table
